COMPANY NAME,Listing date,Lisiting Date,Lisiting Month,Lisiting Year,Issue Size,Issue Price,QIB,HNI,retail,total Subscription,Listing Open (Rs),Listing Close (Rs),Listing Gain %,LTP (Rs),Current Gain %,Status
Kore Digital Ltd.,14-Jun-23,14,6,2023,18,180,0,47.4,31.5,39.5,201,190.9,6%,2407.8,1238%,Profit
Evans Electric Ltd.,13-May-19,13,5,2019,1.9,52,0,2.6,0.6,1.6,52.2,54.8,5%,291.6,1022%,Profit
Fine Organic Industries Ltd.,2-Jul-18,2,7,2018,597.9,783,12.9,21,1.6,9,815,822.8,5%,5291.7,576%,Profit
Dynamic Services & Security Ltd.,13-Oct-21,13,10,2021,24.1,51,0,2.3,1.6,1.9,53,53.5,5%,272.3,434%,Profit
Cospower Engineering Ltd.,30-Mar-20,30,3,2020,2,51,0,2.4,0.7,1.5,51,53.1,4%,331.7,550%,Profit
DJ Mediaprint & Logistics Ltd.,13-Apr-20,13,4,2020,2.4,20,0,1.9,1.7,1.8,20.6,20.8,4%,119.6,3492%,Profit
Knowledge Marine & Engineering Works Ltd.,22-Mar-21,22,3,2021,10.1,37,0,2.1,3.6,2.9,38,38.3,3%,1824,4830%,Profit
Newgen Software Technologies Ltd.,29-Jan-18,29,1,2018,424.6,245,15.6,5.5,5.2,8.3,256,253,3%,1323,980%,Profit
Surani Steel Tubes Ltd.,6-Feb-19,6,2,2019,12.9,52,0,1.7,1.2,1.6,53.1,53.3,2%,301,479%,Profit
Kesar India Ltd.,12-Jul-22,12,7,2022,15.8,170,0,2.6,0.9,1.8,172.5,174,2%,868.7,3476%,Profit
Advait Infratech Ltd.,30-Sep-20,30,9,2020,6.9,51,0,1.5,2.3,1.9,52,51.5,1%,1769,6837%,Profit
DC Infotech and Communication Ltd.,27-Dec-19,27,12,2019,10.8,45,0,1.4,1.8,1.6,45.5,45.2,0%,340.4,657%,Profit
Shiv Aum Steels Ltd.,1-Oct-19,1,10,2019,15.8,44,0,2.3,0.4,1.3,44.3,44.1,0%,294,568%,Profit
CWD Ltd.,13-Oct-21,13,10,2021,18,180,0,1.9,0.7,1.3,180.2,180.6,0%,912.1,407%,Profit
Foce India Ltd.,28-Dec-21,28,12,2021,29,225,0,1.3,1.8,1.6,225,225.7,0%,1625,622%,Profit
Rail Vikas Nigam Ltd.,11-Apr-19,11,4,2019,481.6,19,1.4,0.8,2.9,1.8,19,19.1,0%,544.3,2765%,Profit
Sigma Solve Ltd.,19-Oct-20,19,10,2020,5,45,0,1.1,2.1,1.6,46,45.1,0%,379.8,2010%,Profit
Wonder Fibromats Ltd.,1-Aug-19,1,8,2019,19.8,89,0,2.2,0.3,1.3,93,89,0%,1527,1616%,Profit
HG Infra Engineering Ltd.,9-Mar-18,9,3,2018,457.7,270,8.4,5,3.1,5,270,270.1,0%,1548.8,474%,Profit
Humming Bird Education Ltd.,28-Mar-19,28,3,2019,2.1,132,0,1.9,0.9,1.4,132,132,0%,991,651%,Profit
Lami Goldorna House Ltd.,16-Apr-20,16,4,2020,8.3,15,0,2.2,0.2,1.2,15,15,0%,276.9,1746%,Profit
Rajeshwari Cans Ltd.,15-Apr-21,15,4,2021,4,20,0,1.6,1.2,1.4,20.8,20,0%,688,3340%,Profit
Cool Caps Industries Ltd.,24-Mar-22,24,3,2022,11.6,38,0,4.6,11.3,7.9,35.9,37.6,-1%,404.9,965%,Loss
Shine Fashions (India) Ltd.,2-Nov-20,2,11,2020,1.6,40,0,1.8,1.6,1.7,40.5,39.5,-1%,369.6,824%,Loss
City Pulse Multiple Ltd.,11-Jul-19,11,7,2019,4,30,0,2.7,3.3,3,28.5,29.6,-1%,845,2717%,Loss
ITCONS E-Solutions Ltd.,13-Mar-23,13,3,2023,8.7,51,0,16.1,17.4,16.7,47,49.3,-3%,704,1280%,Loss
Indian Railway Finance Corporation Ltd.,29-Jan-21,29,1,2021,4633,26,3.8,2.7,3.7,3.5,25,24.9,-4%,161.4,521%,Loss
Sudarshan Pharma Industries Ltd.,22-Mar-23,22,3,2023,50.1,73,1,0.8,1.2,1.1,73,69.3,-5%,367.5,403%,Loss
Swaraj Suiting Ltd.,28-Mar-22,28,3,2022,10.7,56,0,13.8,10.5,12.1,56,53.2,-5%,283.9,914%,Loss
Kotyark Industries Ltd.,2-Nov-21,2,11,2021,11.3,51,0,3.6,10.7,7.2,51,48.5,-5%,889.9,1645%,Loss
Healthy Life Agritec Ltd.,26-Jul-22,26,7,2022,10,10,0,5.2,11.2,8.2,8.9,9.3,-7%,59.9,499%,Loss
Angel One Ltd.,5-Oct-20,5,10,2020,600,306,5.7,0.7,4.3,3.9,275,275.9,-10%,2590.8,747%,Loss
MSTC Ltd.,29-Mar-19,29,3,2019,212,128,1.1,2.1,3,1.5,111,114.2,-11%,720.5,463%,Loss
KCK Industries Ltd.,8-Jul-22,8,7,2022,4.5,30,0,3,8.8,5.9,25,26.3,-13%,289.9,867%,Loss
Kalyan Jewellers India Ltd.,26-Mar-21,26,3,2021,1175,87,2.8,1.9,2.8,2.6,73.9,75.3,-13%,730.5,740%,Loss
Gensol Engineering Ltd.,15-Oct-19,15,10,2019,17.9,83,0,2.3,0.4,1.3,85.4,64.7,-22%,875,4117%,Loss
CosmicF Ltd.,30-Jun-23,30,6,2023,60.1,330,3.6,2.8,0.6,1.1,251.2,238.7,-28%,1790,442%,Loss
Galactico Corporate Services Ltd.,9-Oct-19,9,10,2019,3.7,23,0,1.8,0.6,1.2,23.2,0.9,-96%,3.8,-86%,Loss
White Organic Retail Ltd.,10-May-19,10,5,2019,15.5,63,0,2,0.7,1.4,64.2,10.7,-83%,4.3,-93%,Loss
GKP Printing & Packaging Ltd.,8-May-19,8,5,2019,6.6,32,0,1.6,1.6,1.6,34.2,17.5,-45%,9,-72%,Loss
MVK Agro Food Product Ltd.,7-Mar-24,7,3,2024,65.9,120,0,3.8,12.5,8.1,79,83,-31%,50.9,-58%,Loss
Swastik Pipe Ltd.,12-Oct-22,12,10,2022,62.5,100,0,1.4,1.3,1.4,66,69.3,-31%,63.5,-37%,Loss
One97 Communications Ltd.,18-Nov-21,18,11,2021,18300,2150,2.8,0.2,1.7,1.9,1955,1554.2,-28%,664.1,-69%,Loss
Reetech International Cargo and Courier Ltd.,10-Oct-22,10,10,2022,11.7,105,0,1.4,1.9,1.7,82,83.6,-20%,45,-57%,Loss
Yasons Cheme Care Ltd.,3-Aug-23,3,8,2023,20.6,40,0,45.3,65.2,55.2,32,33.6,-16%,23.6,-41%,Loss
Silver Pearl Hospitality & Luury Spaces Ltd.,17-Jun-22,17,6,2022,9,18,0,0.8,2.6,1.7,16,15.2,-16%,10.8,-40%,Loss
Italian Edibles Ltd.,12-Feb-24,12,2,2024,26.7,68,0,168.4,114.5,141.4,55,57.8,-15%,45.5,-33%,Loss
Naturo Indiabull Ltd.,2-Sep-22,2,9,2022,10.9,30,0,8.4,32.1,20.3,25,26.3,-13%,12.4,-59%,Loss
Dipna Pharmachem Ltd.,8-Sep-22,8,9,2022,15.2,38,0,0.8,4.8,2.8,32,33.4,-12%,8.1,-79%,Loss
Evoq Remedies Ltd.,30-Mar-22,30,3,2022,9.7,27,0,0.3,3,1.7,25,23.8,-12%,8.8,-67%,Loss
Aatmaj Healthcare Ltd.,30-Jun-23,30,6,2023,38.4,60,0,35,28.8,31.9,56,53.2,-11%,27.1,-55%,Loss
Suryoday Small Finance Bank Ltd.,26-Mar-21,26,3,2021,582.3,305,2.2,1.3,3.1,2.4,274.8,276.2,-9%,185.6,-39%,Loss
AGS Transact Technologies Ltd.,31-Jan-22,31,1,2022,680,175,2.7,25.6,3.1,7.8,176,161.3,-8%,104.6,-40%,Loss
Atal Realtech Ltd.,15-Oct-20,15,10,2020,10.8,72,0,2,0.4,1.2,70.2,66.7,-7%,8.2,70%,Loss
CarTrade Tech Ltd.,20-Aug-21,20,8,2021,2998.5,1618,35.5,41,2.8,20.3,1600,1500.1,-7%,995.1,-39%,Loss
Navoday Enterprises Ltd.,24-Jun-21,24,6,2021,4.6,20,0,0.3,4.4,2.4,19.5,18.6,-7%,8.6,-15%,Loss
Capital Small Finance Bank Ltd.,14-Feb-24,14,2,2024,523.1,468,6.6,4,2.5,4,430.3,435,-7%,293.9,-37%,Loss
Nuvoco Vistas Corporation Ltd.,23-Aug-21,23,8,2021,5000,570,4.2,0.7,0.7,1.7,471,531.3,-7%,362.4,-36%,Loss
Micropro Software Solutions Ltd.,10-Nov-23,10,11,2023,30.7,81,0,21.6,46.6,34.1,80,76,-6%,42.6,-47%,Loss
Vrundavan Plantation Ltd.,6-Nov-23,6,11,2023,15.3,108,0,11.1,24.2,17.7,107,101.7,-6%,48.8,-55%,Loss
Nidan Laboratories And Healthcare Ltd.,12-Nov-21,12,11,2021,50,125,0,0.1,3.4,1.8,123.9,117.8,-6%,33.8,-73%,Loss
SecMark Consultancy Ltd.,1-Oct-20,1,10,2020,15,135,0,1.1,1.4,1.2,134,127.3,-6%,90,67%,Loss
Rhetan TMT Ltd.,5-Sep-22,5,9,2022,56,70,0,2.2,0.8,1.5,70,66.5,-5%,16,757%,Loss
Trekkingtoes.com Ltd.,28-Aug-20,28,8,2020,4.5,105,0,0.3,2.8,1.6,105,99.8,-5%,29.2,-72%,Loss
Cell Point (India) Ltd.,28-Jun-23,28,6,2023,50.3,100,0,4,7.5,5.8,100,95,-5%,32.3,-68%,Loss
Mangalam Alloys Ltd.,4-Oct-23,4,10,2023,54.9,80,0,2.4,8.3,5.3,80,76,-5%,41,-49%,Loss
Vilin Bio Med Ltd.,30-Jun-23,30,6,2023,12,30,0,1.3,4.1,2.7,30,28.5,-5%,18.1,-40%,Loss
Sameera Agro and Infra Ltd.,1-Jan-24,1,1,2024,62.6,180,0,1.7,3.9,2.8,180,171,-5%,109,-39%,Loss
Richa Info Systems Ltd.,21-Feb-22,21,2,2022,10,125,0,3.2,6.9,5,125,118.8,-5%,84.3,-33%,Loss
Jinaams Dress Ltd.,25-Apr-19,25,4,2019,42.5,59,0,1.3,1.1,1.2,59,56.1,-5%,2.4,-96%,Loss
Suich Industries Ltd.,13-Jun-19,13,6,2019,30.9,75,0,1.3,1.5,1.4,68.5,71.3,-5%,4.3,-94%,Loss
Synoptics Technologies Ltd.,13-Jul-23,13,7,2023,54,237,0,2.6,2.4,2.5,238,226.1,-5%,124.3,-48%,Loss
Brandbucket Media & Technology Ltd.,31-Dec-21,31,12,2021,8.3,55,0,2.1,1,1.6,51,52.5,-5%,13.2,-76%,Loss
Graphisads Ltd.,13-Dec-23,13,12,2023,53.4,111,0,2,5.3,3.6,111.5,106,-5%,70.5,-37%,Loss
Falcon Technoprojects India Ltd.,26-Jun-24,26,6,2024,13.7,92,0,43.1,83.2,63.2,84,88.2,-4%,50.6,-45%,Loss
Baweja Studios Ltd.,6-Feb-24,6,2,2024,97.2,180,0.2,3.6,5.4,2.5,183,173.8,-3%,76.1,-58%,Loss
Global Longlife Hospital and Research Ltd.,5-Apr-22,5,4,2022,49,140,0,1.6,1.4,1.5,141.1,135.3,-3%,35.2,-75%,Loss
Janus Corporation Ltd.,7-Feb-20,7,2,2020,8,50,0,1,1.5,1.3,50.7,48.5,-3%,8.3,-62%,Loss
Jetmall Spices and Masala Ltd.,19-Apr-21,19,4,2021,5,20,0,1.9,0.8,1.4,20.5,19.5,-3%,9.2,-54%,Loss
Bizotic Commercial Ltd.,23-Jun-23,23,6,2023,42.2,175,0,2,1.6,1.8,180,171,-2%,58.6,-67%,Loss
V R Films & Studios Ltd.,30-Apr-19,30,4,2019,2.3,61,0,1.5,1.6,1.5,62,60,-2%,28.5,274%,Loss
Quadpro ITeS Ltd.,30-Sep-21,30,9,2021,14.1,20,0,8.7,23.5,16.1,19.8,19.9,-1%,5.6,-44%,Loss
Patron Eim Ltd.,6-Mar-23,6,3,2023,16.7,27,0,1,1.2,1.1,28.4,27,0%,8.8,-68%,Loss
RO Jewels Ltd.,25-Mar-20,25,3,2020,4.9,36,0,1.9,0.4,1.2,36,36,0%,3.5,71%,Profit
Ashapuri Gold Ornament Ltd.,27-Mar-19,27,3,2019,29.3,51,0,2.1,0.3,1.2,50,51,0%,7.5,47%,Profit
HMA Agro Industries Ltd.,4-Jul-23,4,7,2023,480,585,1.7,3,1,1.6,625,585.6,0%,49,-16%,Profit
Earum Pharmaceuticals Ltd.,4-Jul-19,4,7,2019,6.7,36,0,1.7,1.5,1.6,36,36,0%,1.3,-96%,Profit
Adjia Technologies Ltd.,15-Mar-21,15,3,2021,2,74,0,0.9,5.2,6,64.1,74.3,0%,45.1,-39%,Profit
Polysil Irrigation Systems Ltd.,16-Feb-24,16,2,2024,17.4,54,0,2.1,11,6.6,56,54.3,1%,30.8,-43%,Profit
Vishwaraj Sugar Industries Ltd.,16-Oct-19,16,10,2019,60,60,1,1.8,0.6,1.1,61.2,60.4,1%,18.8,-69%,Profit
Star Health and Allied Insurance Company Ltd.,10-Dec-21,10,12,2021,7249.2,900,1,0.2,1.1,0.8,903,906.9,1%,618.6,-31%,Profit
Cian Healthcare Ltd.,23-May-19,23,5,2019,37.9,61,0,1.9,0.6,1.3,62,61.5,1%,5.5,-92%,Profit
Bodhi Tree Multimedia Ltd.,21-Oct-20,21,10,2020,3.7,95,0,1.4,1.8,1.6,95,95.8,1%,12.1,535%,Profit
Mangalam Global Enterprise Ltd.,28-Nov-19,28,11,2019,21.6,51,0,2.1,0.5,1.3,53,51.5,1%,24.4,-52%,Profit
Sahaj Fashions Ltd.,6-Sep-23,6,9,2023,14,30,0,3.7,11.1,7.4,31,30.4,1%,17.9,-40%,Profit
Nirmitee Robotics India Ltd.,21-Apr-20,21,4,2020,3.2,185,0,1.7,0.6,1.1,189,189,2%,75.6,-59%,Profit
Indostar Capital Finance Ltd.,21-May-18,21,5,2018,1844,572,16.1,6.9,1.5,6.8,600.6,585.5,2%,313.8,-45%,Profit
Rachana Infrastructure Ltd.,13-Jun-22,13,6,2022,76.3,135,0,1.8,0.6,1.2,138.7,139.1,3%,60.9,-55%,Profit
Sapphire Foods India Ltd.,18-Nov-21,18,11,2021,2073.3,1180,7.5,3.5,8.7,6.6,1311,1216,3%,347.1,47%,Profit
Sunrise Efficient Marketing Ltd.,12-Apr-22,12,4,2022,16.7,121,0,1.8,1.1,1.5,121.3,124.8,3%,41.9,4%,Profit
Vate Cotfab Ltd.,13-Jan-20,13,1,2020,3.8,24,0,1.8,4,2.9,24.1,24.8,3%,0.8,-44%,Profit
Ishan International Ltd.,22-Sep-22,22,9,2022,18.2,80,0,1.6,1.6,1.6,82,82.8,4%,3,12%,Profit
VELS Film International Ltd.,22-Mar-23,22,3,2023,33.7,99,0,1.2,1,1.1,101,103.4,4%,52.2,-47%,Profit
Mahip Industries Ltd.,12-Mar-19,12,3,2019,16.6,32,0,1.5,1.5,1.5,32,33.6,5%,3.4,-89%,Profit
Indifra Ltd.,29-Dec-23,29,12,2023,14,65,0,2.3,11.5,6.9,72,68.4,5%,32.2,-51%,Profit
Varanium Cloud Ltd.,27-Sep-22,27,9,2022,36.6,122,0,5.8,5.1,5.5,131,128.6,5%,21.8,-29%,Profit
Osia Hyper Retail Ltd.,5-Apr-19,5,4,2019,39.8,252,0,1.7,0.6,1.1,255,267.6,6%,44.8,185%,Profit
Pace E-Commerce Ventures Ltd.,20-Oct-22,20,10,2022,66.5,103,0,1.7,0.6,1.1,104.5,109.7,7%,24.4,-76%,Profit
Dhyaani Tile and Marblez Ltd.,12-Apr-22,12,4,2022,2.5,51,0,2,2.4,2.2,52.3,54.8,8%,25.8,42%,Profit
Finelistings Technologies Ltd.,14-May-24,14,5,2024,13.5,123,0,34.1,36.9,35.5,127,133.3,8%,62.3,-49%,Profit
Maagh Advertising And Marketing Services Ltd.,13-Oct-22,13,10,2022,9.1,60,0,0.2,0.3,0.3,62.3,65.4,9%,12,149%,Profit
Yudiz Solutions Ltd.,17-Aug-23,17,8,2023,44.8,165,1.5,6.8,8.5,4.8,185,181.4,10%,60,-64%,Profit
Earo Tiles Ltd.,16-Aug-21,16,8,2021,161.1,120,17.7,5.4,40,22.6,126,132.3,10%,81.2,-32%,Profit
Goblin India Ltd.,16-Oct-19,16,10,2019,15.2,52,0,1.9,0.9,1.4,57.9,57.9,11%,35.5,-32%,Profit
Easy Trip Planners Ltd.,19-Mar-21,19,3,2021,510,187,77.5,382.2,70.4,159.3,182,208.3,11%,41.6,256%,Profit
SBL Infratech Ltd.,28-Sep-21,28,9,2021,2.4,111,0,0.8,2.4,1.6,130,125,13%,37,-67%,Profit
Shanthala FMCG Products Ltd.,3-Nov-23,3,11,2023,16.1,91,0,4.6,2.9,3.8,108,103.5,14%,58.4,-36%,Profit
Inspire Films Ltd.,5-Oct-23,5,10,2023,21.2,59,13.4,196.2,239.7,120,67,67.8,15%,33.8,-43%,Profit
Artedz Fabs Ltd.,29-Mar-19,29,3,2019,8.3,36,0,1.3,1.8,1.5,40,41.6,16%,18.7,-48%,Profit
Rite Zone Chemcon India Ltd.,11-Nov-22,11,11,2022,9,75,0,2.4,7.1,4.7,82.8,87,16%,42.4,-44%,Profit
Artemis Electricals and Projects Ltd.,14-May-19,14,5,2019,42,60,0,1.7,0.5,1.1,70,69.8,16%,29.8,396%,Profit
Tranway Technologies Ltd.,6-Feb-20,6,2,2020,4.2,10,0,1.1,2.9,2,11.1,11.7,17%,6.3,-37%,Profit
Plada Infotech Services Ltd.,13-Oct-23,13,10,2023,12.4,48,0,37.9,70.1,54,59,56,17%,29.3,-39%,Profit
Piote Industries Ltd.,17-May-24,17,5,2024,14.5,94,0,115.5,88.6,102,109,114.3,22%,64.7,-31%,Profit
HP Adhesives Ltd.,27-Dec-21,27,12,2021,126,274,1.8,19,81.2,21,319,334.9,22%,95.1,74%,Profit
Bandhan Bank Ltd.,27-Mar-18,27,3,2018,4473,375,38.7,13.9,1.2,14.6,485,477.2,27%,210,-44%,Profit
Krishna Institute of Medical Sciences Ltd.,5-Jul-21,5,7,2021,2143.7,825,5.3,1.9,2.9,3.9,1009,1096.8,33%,546.9,231%,Profit
Omnipotent Industries Limited,29-Nov-21,29,11,2021,18.9,63,0,1,1.3,1.2,99,94,49%,9.6,-85%,Profit
Cyber Media Research & Services Ltd.,10-Oct-22,10,10,2022,14,171,6.3,62.6,27.8,22.3,245.3,257.5,51%,109.2,-36%,Profit
Apollo Micro Systems Ltd.,22-Jan-18,22,1,2018,156,275,101.9,958.1,40.2,248.5,478,454.1,65%,107.2,290%,Profit
Varyaaeations Ltd.,30-Apr-24,30,4,2024,20.1,150,0,1.1,5.8,3.5,285,270.8,81%,97.2,-35%,Profit
Euphoria Infotech (India) Ltd.,30-Jan-24,30,1,2024,9.6,100,413.3,238,426.6,364.7,190,181.5,82%,67.6,-32%,Profit
FSN E-commerce Ventures Ltd.,10-Nov-21,10,11,2021,5351.9,1125,91.2,112,12.2,81.8,2001,2206.7,96%,199.3,6%,Profit
Innokaiz India Ltd.,11-May-23,11,5,2023,21.2,78,23.9,224.9,46.1,88.4,148.2,155.6,100%,43.8,-44%,Profit
Sigachi Industries Ltd.,15-Nov-21,15,11,2021,125.4,163,86.5,172.4,80.5,101.9,575,603.8,270%,58.4,259%,Profit
GEM Enviro Management Ltd.,26-Jun-24,26,6,2024,44.9,75,160.2,330,240.3,244.1,142.5,149.6,100%,185.1,147%,Profit
United Cotfab Ltd.,24-Jun-24,24,6,2024,36.3,70,0,130.3,73.3,101.8,75,78.8,13%,53.8,-23%,Profit
GP Eco Solutions India Ltd.,24-Jun-24,24,6,2024,30.8,94,116.5,2258.4,977.4,739.1,375,393.8,319%,267.1,184%,Profit
LE Travenues Technology Ltd.,18-Jun-24,18,6,2024,740.1,93,106.7,110.5,54.7,98.3,138.1,165.7,78%,144.8,56%,Profit
Sattri Information Security Ltd.,12-Jun-24,12,6,2024,21.8,121,0,98,35.8,66.9,150,157.5,30%,177.1,46%,Profit
3C IT Solutions & Telecom (India) Ltd.,12-Jun-24,12,6,2024,11.4,52,0,10.2,28.3,19.2,43,45.2,-13%,35.9,-31%,Loss
Magenta Lifecare Ltd.,12-Jun-24,12,6,2024,7,35,0,1126.3,737.9,932.1,45,47.3,35%,29.6,-15%,Profit
Krono Lab Sciences Ltd.,10-Jun-24,10,6,2024,130.2,136,89,303,55.7,118.2,164.9,159.3,17%,178.5,31%,Profit
TBI Corn Ltd.,7-Jun-24,7,6,2024,44.9,94,43.2,686.2,258.6,215.1,198,207.9,121%,209.9,123%,Profit
Aimtron Electronics Ltd.,6-Jun-24,6,6,2024,87,161,37,269.1,94.9,92.1,241,253.1,57%,436.9,171%,Profit
Associated Coaters Ltd.,6-Jun-24,6,6,2024,5.1,121,0,208.9,417.6,313.3,142,134.9,12%,336.4,178%,Profit
Z-Tech (India) Ltd.,5-Jun-24,5,6,2024,37.3,110,65.4,1106.5,419.2,345.4,100,105,-5%,330.6,201%,Loss
Beacon Trusteeship Ltd.,4-Jun-24,4,6,2024,32.5,60,87,1038.6,671.7,434.4,90,94.5,58%,112,87%,Profit
Vilas Transcore Ltd.,3-Jun-24,3,6,2024,95.3,147,60.9,599.4,214,195.3,215,225.8,54%,399.8,172%,Profit
GSM Foils Ltd.,31-May-24,31,5,2024,11,32,0,246.3,234.5,240.4,32,33.6,5%,81.8,156%,Profit
Awfis Space Solutions Ltd.,30-May-24,30,5,2024,598.9,383,117,129.8,54.6,108.6,435,421.8,10%,723,89%,Profit
HOAC Foods India Ltd.,24-May-24,24,5,2024,5.5,48,0,1317.4,2350.6,1834,147,139.7,191%,142,196%,Profit
Rulka Electricals Ltd.,24-May-24,24,5,2024,26.4,235,108.5,1794,874.5,629.4,525,498.8,112%,410.6,75%,Profit
Go Digit General Insurance Ltd.,23-May-24,23,5,2024,2615,272,12.6,7.2,4.3,9.6,286,306,13%,358.7,32%,Profit
Quest Laboratories Ltd.,23-May-24,23,5,2024,43.2,97,29.6,250.7,76.8,79.3,155.1,147.3,52%,120.4,24%,Profit
Indian Emulsifier Ltd.,22-May-24,22,5,2024,42.4,132,93.3,1039.5,643.9,427.9,430,451.5,242%,310,135%,Profit
ABS Marine Services Ltd.,21-May-24,21,5,2024,96.3,147,57,354.6,146.9,133.1,294,279.3,90%,270.1,84%,Profit
Veritaas Advertising Ltd.,21-May-24,21,5,2024,8.5,114,64.1,781.3,1227.8,581.4,275,261.3,129%,145.5,28%,Profit
Mandeep Auto Industries Ltd.,21-May-24,21,5,2024,25.3,67,0,58.5,86,72.3,62.3,65.3,-3%,47.1,-30%,Loss
Premier Roadlines Ltd.,17-May-24,17,5,2024,40.4,67,47.8,239.7,141.5,109.3,87,91.3,36%,127,90%,Profit
Aztec Fluids & Machinery Ltd.,17-May-24,17,5,2024,24.1,67,107.9,252.8,228.4,203,90,85.5,28%,98.3,47%,Profit
Energy-Mission Machineries (India) Ltd.,16-May-24,16,5,2024,41.1,138,85.9,804.4,384.5,298.2,366,384.3,178%,466.5,238%,Profit
TBO Tek Ltd.,15-May-24,15,5,2024,1550.8,920,125.5,50.6,25.7,86.7,1426,1406.3,53%,1752.5,91%,Profit
Aadhar Housing Finance Ltd.,15-May-24,15,5,2024,3000,315,72.8,16.5,2.5,25.5,315,329.4,5%,464.3,47%,Profit
Silkfle Polymers Ltd.,15-May-24,15,5,2024,18.1,52,0,34.6,31.1,32.8,60,58.7,13%,97.5,88%,Profit
TGIF Agribusiness Ltd.,15-May-24,15,5,2024,6.4,93,0,29.2,35.3,35.1,150,142.5,53%,94,1%,Profit
Refractory Shapes Ltd.,14-May-24,14,5,2024,18.6,31,48.2,616.8,344.2,237.1,75,78.8,154%,145.9,371%,Profit
Winsol Engineers Ltd.,14-May-24,14,5,2024,23.4,75,110.2,1447,1038.7,635.7,365,383.3,411%,312.6,317%,Profit
Indegene Ltd.,13-May-24,13,5,2024,1841.8,452,197.6,55.1,8,69.9,655,570.9,26%,662.3,47%,Profit
Slone Infosystems Ltd.,10-May-24,10,5,2024,11.1,79,0,718.1,514.2,616.1,118.5,112.6,43%,168,113%,Profit
Storage Technologies & Automation Ltd.,8-May-24,8,5,2024,29.9,78,117.9,422.8,242.7,258.6,148.2,153.1,96%,172.6,121%,Profit
Amkay Products Ltd.,8-May-24,8,5,2024,12.6,55,173,722,973.1,693.4,104.5,109.7,100%,61.5,12%,Profit
Sai Swami Metals and Alloys Ltd.,8-May-24,8,5,2024,15,60,0,530,501.9,515.9,114,119.7,100%,52.4,-13%,Profit
JNK India Ltd.,30-Apr-24,30,4,2024,649.5,415,75.7,23.3,4.1,28.1,621,694.5,67%,693,67%,Profit
Emmforce Autotech Ltd.,30-Apr-24,30,4,2024,53.9,98,160.6,637.7,267.6,338.9,186.2,195.5,100%,130.2,33%,Profit
Shivam Chemicals Ltd.,30-Apr-24,30,4,2024,20.2,44,0,4.2,8.4,6.3,48,47.4,8%,52.8,20%,Profit
